id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,smean,dmean,sinpkt,dinpkt,sjit,djit,udp_packet_rate,sttl,dttl,sloss,dloss,swin,dwin,stcpb,dtcpb,tcprtt,synack,ackdat,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label,tcp_syn_count,tcp_fin_count,tcp_rst_count,threat_category,flow_id,timestamp,protocol,duration,src_bytes,dst_bytes,src_packets,dst_packets,anomaly_score,suspicion_reason
6.0,15.5,tcp,-,CON,1000.0,50.0,50000.0,2500.0,64.5,3225.8,161.29,50.0,50.0,0.0155,0.31,0.5,0.8,0.0,64.0,64.0,5.0,0.0,1024.0,8192.0,0.0,0.0,0.2,0.1,0.05,0.0,0.0,50.0,200.0,100.0,20.0,5.0,10.0,50.0,200.0,0.0,0.0,0.0,0.0,DoS,Attack,900.0,10.0,90.0,Malicious,,,,,,,,,,
7.0,25.8,tcp,-,CON,2000.0,100.0,100000.0,5000.0,77.5,3875.97,193.8,50.0,50.0,0.0129,0.258,0.8,1.2,0.0,64.0,64.0,10.0,2.0,512.0,8192.0,0.0,0.0,0.3,0.15,0.075,0.0,0.0,100.0,500.0,200.0,50.0,10.0,20.0,100.0,500.0,0.0,0.0,0.0,0.0,DoS,Attack,1800.0,20.0,180.0,Malicious,,,,,,,,,,
8.0,0.001,tcp,-,SYN,1.0,0.0,40.0,0.0,1000.0,40000.0,0.0,40.0,0.0,0.001,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Reconnaissance,Attack,1.0,0.0,0.0,Malicious,,,,,,,,,,
9.0,0.001,tcp,-,SYN,1.0,0.0,40.0,0.0,1000.0,40000.0,0.0,40.0,0.0,0.001,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Reconnaissance,Attack,1.0,0.0,0.0,Malicious,,,,,,,,,,
10.0,0.001,tcp,-,SYN,1.0,0.0,40.0,0.0,1000.0,40000.0,0.0,40.0,0.0,0.001,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Reconnaissance,Attack,1.0,0.0,0.0,Malicious,,,,,,,,,,
11.0,0.001,tcp,-,SYN,1.0,0.0,40.0,0.0,1000.0,40000.0,0.0,40.0,0.0,0.001,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Reconnaissance,Attack,1.0,0.0,0.0,Malicious,,,,,,,,,,
12.0,0.001,tcp,-,SYN,1.0,0.0,40.0,0.0,1000.0,40000.0,0.0,40.0,0.0,0.001,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Reconnaissance,Attack,1.0,0.0,0.0,Malicious,,,,,,,,,,
13.0,5.2,tcp,ssh,CON,500.0,10.0,25000.0,500.0,96.15,4807.69,96.15,50.0,50.0,0.0104,0.52,0.2,0.4,0.0,64.0,64.0,2.0,0.0,2048.0,8192.0,0.0,0.0,0.15,0.08,0.04,0.0,0.0,20.0,100.0,50.0,10.0,2.0,5.0,20.0,100.0,0.0,0.0,0.0,1.0,Brute Force,Attack,400.0,50.0,50.0,Malicious,,,,,,,,,,
14.0,8.7,tcp,ftp,CON,800.0,20.0,40000.0,1000.0,91.95,4597.7,114.94,50.0,50.0,0.0109,0.435,0.3,0.6,0.0,64.0,64.0,5.0,1.0,1024.0,8192.0,0.0,0.0,0.2,0.1,0.05,0.0,0.0,30.0,150.0,80.0,15.0,3.0,8.0,30.0,150.0,1.0,10.0,0.0,0.0,Brute Force,Attack,600.0,100.0,100.0,Malicious,,,,,,,,,,
15.0,30.5,tcp,http,CON,3000.0,150.0,150000.0,7500.0,98.36,4918.03,245.9,50.0,50.0,0.0102,0.203,1.0,1.5,0.0,64.0,64.0,15.0,5.0,512.0,8192.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,150.0,800.0,400.0,80.0,15.0,30.0,150.0,800.0,0.0,0.0,5.0,0.0,DoS,Attack,2500.0,250.0,250.0,Malicious,,,,,,,,,,
20.0,0.2,tcp,telnet,RST,3.0,1.0,150.0,50.0,15.0,750.0,250.0,50.0,50.0,0.067,0.2,0.01,0.02,0.0,64.0,64.0,0.0,0.0,2048.0,8192.0,0.0,0.0,0.05,0.025,0.01,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Backdoor,Attack,2.0,0.0,1.0,Malicious,,,,,,,,,,
,,,http,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attack,,,,Suspicious,15.0,2025-08-07T22:38:53.731317,tcp,30.5,150000.0,7500.0,3000.0,150.0,3.443782809100385,Statistical Anomaly
